scene,floor,distance_m,predicate,msp_question,ann_ok,ann_ts,ann_pos_x,ann_pos_y,ann_pos_z,ann_yaw_rad,ann_m,ann_n,ann_scale_x,ann_scale_y,ann_scale_z,ann_aabb_min_x,ann_aabb_min_y,ann_aabb_min_z,ann_aabb_max_x,ann_aabb_max_y,ann_aabb_max_z,ann_volume,anchor_sid,anchor_label,anchor_center_x,anchor_center_y,anchor_center_z,GT Object 1,GT Object 2
00057-1UnKg1rAb8A,3,2,in front of,Where is 2 meters in front of the fridge?,1,1772443319.75578,0.793051,-1.748816,0.338606,2.748483,2,2,0.15,0.15,0.15,0.643452,-1.898742,0.18876,0.942887,-1.59911,0.48852,0.01418652,46,fridge,2.785994,-1.622095,0.452456,door,kitchen counter
00035-3XYAD64HpDr,1,1,in front of,Where is 1 meter in front of the painting of the woman?,1,1772443425.55412,2.048066,-1.335402,-2.699603,-0.034454,2,2,0.15,0.15,0.15,1.898126,-1.48518,-2.849491,2.197722,-1.185631,-2.549715,0.01418652,9,painting,2.069308,-1.390806,-3.761954,tv,wall
00304-X6Pct1msZv5,0,2,right of,Where is 2 meters to the right of the oven on top?,1,1772443522.81658,8.699109,1.720625,0.944482,-2.871449,2,2,0.15,0.15,0.15,8.549515,1.570878,0.79451,8.848964,1.870416,1.094437,0.01418652,115,oven,6.763607,1.489692,1.105575,cabinet,box
00525-iKFn6fzyRqs,0,2,in front of,Where is 2 meters in front of the white dresser?,1,1772443635.05897,-1.187315,0.571487,5.960017,-2.147618,2,2,0.15,0.15,0.15,-1.337024,0.421589,5.810038,-1.037513,0.721411,6.109867,0.01418652,412,dresser,-1.120451,0.488759,8.022826,chair,floor
00109-GTV2Y73Sn5t,2,1,right of,Where is 1 meter in front of the white futon sofa?,1,1772443729.23813,-0.829612,0.517433,-3.844679,-1.562053,2,2,0.15,0.15,0.15,-0.979606,0.367835,-3.994412,-0.679617,0.667183,-3.69508,0.01418652,134,sofa,-0.766943,0.401942,-2.840405,chair,desk
00414-77mMEyxhs44,0,1.5,behind,Where is 1.5 meters behind the guitar?,1,1772443844.62009,3.133879,0.776352,-7.030646,0.889953,2,2,0.15,0.15,0.15,2.984086,0.626538,-7.180391,3.283566,0.926332,-6.880972,0.01418652,576,guitar,3.507056,0.370053,-5.604731,cabinet,car model
00299-bdp1XNEdvmW,0,2,right of,Where is 2 meters to the right of the refrigerator?,1,1772443919.20871,0.347678,1.342773,-0.189335,1.815591,2,2,0.15,0.15,0.15,0.197699,1.192951,-0.339151,0.497675,1.492757,-0.039757,0.01418652,158,refrigerator,0.440909,0.920355,-2.131585,door,mirror
00525-iKFn6fzyRqs,1,0.5,in front of,Where is 0.5 meters to the left of the cabinet with white drawers?,1,1772444021.38698,6.911115,0.534655,5.570858,2.260594,2,2,0.15,0.15,0.15,6.761505,0.384682,5.420977,7.060832,0.684571,5.720504,0.01418652,328,cabinet,7.113968,0.695648,6.015063,door frame,door
00258-2Pc8W48bu21,0,0,between,Where is the place between the cabinet under tv and the sofa on the opposite side?,1,1772444209.6372,7.568587,0.793501,2.92617,-1.620486,2,2,0.15,0.15,0.15,7.418772,0.643571,2.776284,7.718402,0.943166,3.076047,0.01418652,667,cabinet,7.22128,0.501808,4.634913,coffee table,plant
00537-oahi4u45xMf,0,1,left of,Where is 1 meter to the left of the crib?,1,1772444532.69405,-6.769338,0.837102,5.922308,3.097894,2,2,0.15,0.15,0.15,-6.919026,0.687126,5.772587,-6.619365,0.987006,6.072117,0.01418652,15,crib,-7.776026,0.924771,5.929117,cabinet,TV
00706-YHmAkqgwe2p,0,0.5,right of,Where is 0.5 meters to the right of the painting?,1,1772444688.72669,0.616107,1.692578,-4.164451,-0.314351,2,2,0.15,0.15,0.15,0.466107,1.54286,-4.314148,0.765849,1.842271,-4.01475,0.01418652,13,picture,0.673862,1.655147,-3.596573,wall,nightstand
00537-oahi4u45xMf,1,1.5,right of,Where is 1.5 meters to the right of the microwave?,1,1772444769.1258,-4.679418,1.070347,1.313651,2.295308,2,2,0.15,0.15,0.15,-4.829224,0.920618,1.163948,-4.529483,1.220299,1.463457,0.01418652,83,microwave,-3.280252,1.520598,0.994993,toaster,lower cabinet
